name,href,address
Sushi Suki,http://www.seamless.com/food-delivery/sushi-suki-new-york-city.3505.r,1577 York Avenue
Wa Jeal Sichuan Chili,http://www.seamless.com/food-delivery/wa-jeal-sichuan-chili-manhattan-consumer.7424.r,1588 2nd Ave
Neil`s Coffee Shop,http://www.seamless.com/food-delivery/neils-coffee-shop-new-york-city.30361.r,961 Lexington Avenue
Timmys By The River,http://www.seamless.com/food-delivery/timmys-by-the-river-manhattan-consumer.11529.r,1737 York Ave
3 Star Diner,http://www.seamless.com/food-delivery/3-star-diner-new-york-city.16333.r,1462 1st Avenue
America's Burgers and Wraps,http://www.seamless.com/food-delivery/americas-burgers-and-wraps-new-york-city.1209.r,1159 Third Avenue
Kobe Sushi,http://www.seamless.com/food-delivery/kobe-sushi-new-york-city.17781.r,1472 York
Maharaja Palace (Madison Ave),http://www.seamless.com/food-delivery/maharaja-palace-madison-ave-new-york-city.7393.r,1350 Madison Avenue
Mamagyro,http://www.seamless.com/food-delivery/mamagyro-new-york-city.17908.r,1113 Lexington Avenue
Oriental Cafe (East Side),http://www.seamless.com/food-delivery/oriental-cafe-east-side-new-york-city.9177.r,1580 1st Ave
Our Place,http://www.seamless.com/food-delivery/our-place-new-york-city.17082.r,242 East 79th Street
Piazza Pizza & Grill,http://www.seamless.com/food-delivery/piazza-pizza-grill-new-york-city.9235.r,1530 3rd Av
Sabor A Mexico II (77th St),http://www.seamless.com/food-delivery/sabor-a-mexico-ii-77th-st-new-york-city.17652.r,233 E 77th Street
Taqueria Guadalupe,http://www.seamless.com/food-delivery/taqueria-guadalupe-new-york-city.18214.r,1743 Lexington Avenue
Uptown Cottage,http://www.seamless.com/food-delivery/uptown-cottage-new-york-city.4891.r,1748 2nd Avenue
East Palace,http://www.seamless.com/food-delivery/east-palace-new-york-city.11404.r,819 2nd Ave
Ichiro Japanese Restaurant,http://www.seamless.com/food-delivery/ichiro-japanese-restaurant-new-york-city.2887.r,1694 2nd Ave
Luscious Thai Restaurant,http://www.seamless.com/food-delivery/luscious-thai-restaurant-new-york-city.41473.r,1099 1st Ave
Zucchero e Pomodori,http://www.seamless.com/food-delivery/zucchero-e-pomodori-new-york-city.3605.r,1435 2nd Avenue
Green Kitchen Restaurant,http://www.seamless.com/food-delivery/green-kitchen-restaurant-new-york-city.1240.r,1477 First Avenue
Shanghai Pavilion,http://www.seamless.com/food-delivery/shanghai-pavilion-new-york-city.3333.r,1378 3rd Ave
AA Jing,http://www.seamless.com/food-delivery/aa-jing-new-york-city.11400.r,689 9th Ave
Weng's Palace/Thai Palace,http://www.seamless.com/food-delivery/wengs-palacethai-palace-new-york-city.7073.r,304 West 40th St
China Spice NYC,http://www.seamless.com/food-delivery/china-spice-nyc-new-york-city.17276.r,1588 York Ave
